protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
sf,10,gm3d,3002,30,67.7165,app,254,172,152,50,0.372093,15.1381,1140.9,76.8934,543.29,420,420,336,246.732,0,16515,16305,210,210,0,98.7284,0,0.680952,210,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_gm3d_s3002/sf_n10_gm3d_s3002_bz0.csv
sf,10,gm3d,3003,30,81.5068,app,292,238,212,36,5.68487,20.5312,936.406,74.3746,400.693,520,520,333,246.801,0,17010,16750,260,260,0,98.4715,0,0.523077,260,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_gm3d_s3003/sf_n10_gm3d_s3003_bz0.csv
sf,10,gm3d,3004,30,38.6441,app,295,114,88,116,0.219298,8.6528,1161.51,74.9758,950.194,500,500,346,246.655,0,16751,16501,250,250,0,98.5076,0,0.656,250,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_gm3d_s3004/sf_n10_gm3d_s3004_bz0.csv
sf,10,gm3d,3005,30,63.4328,app,268,170,142,76,0.247059,13.9947,1251.54,75.863,587.683,560,560,334,246.733,0,16923,16643,280,280,0,98.3454,0,0.839286,280,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_gm3d_s3005/sf_n10_gm3d_s3005_bz0.csv
sf,10,rpgm,3001,30,60,app,280,168,131,76,0.22619,13.2779,1238.61,76.2345,619.507,722,722,333,246.772,0,17619,17258,361,361,0,97.9511,0,0.199446,361,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_rpgm_s3001/sf_n10_rpgm_s3001_bz0.csv
sf,10,rpgm,3002,30,12.945,app,309,40,0,179,0,1.36533,4550.47,74.4763,6021.01,800,800,336,246.621,0,18095,17695,400,400,0,97.7894,0,0.375,400,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_rpgm_s3002/sf_n10_rpgm_s3002_bz0.csv
sf,10,rpgm,3003,30,71.4286,app,287,205,178,61,0.268293,17.7664,1077.48,75.0145,462.924,540,540,332,246.735,0,16923,16653,270,270,0,98.4045,0,0.544444,270,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_rpgm_s3003/sf_n10_rpgm_s3003_bz0.csv
sf,10,rpgm,3004,30,71.3333,app,300,214,187,65,0.252336,18.7733,1082.62,73.5961,438.192,560,560,334,246.79,0,17036,16756,280,280,0,98.3564,0,0.496429,280,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_rpgm_s3004/sf_n10_rpgm_s3004_bz0.csv
sf,10,rpgm,3005,30,64.5614,app,285,184,155,80,0.222826,14.3701,1115.9,76.1413,572.365,540,540,342,246.749,0,17133,16863,270,270,0,98.4241,0,0.433333,270,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n10_rpgm_s3005/sf_n10_rpgm_s3005_bz0.csv
sf,20,gm3d,3001,30,36.2657,app,557,202,0,0,0.262376,15.5477,1569.63,75.3973,1059.99,1880,1880,652,494.413,0,60632,59692,940,940,0,98.4497,0,0.77234,940,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_gm3d_s3001/sf_n20_gm3d_s3001_bz0.csv
sf,20,gm3d,3002,30,38.4615,app,533,205,0,0,0.356098,15.7013,1494.49,76.8324,1050.88,2040,2040,638,495.009,0,70550,69530,1020,1020,0,98.5542,0,0.808824,1020,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_gm3d_s3002/sf_n20_gm3d_s3002_bz0.csv
sf,20,gm3d,3003,30,48.8656,app,573,280,0,0,0.321429,23.2619,1431.65,74.5591,709.19,1960,1960,640,494.912,0,65968,64988,980,980,0,98.5144,0,0.432653,980,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_gm3d_s3003/sf_n20_gm3d_s3003_bz0.csv
sf,20,gm3d,3004,30,38.9948,app,577,225,0,0,0.346667,16.1963,1464.53,75.8301,1018.96,2120,2120,639,495.1,0,70867,69807,1060,1060,0,98.5042,0,0.687736,1060,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_gm3d_s3004/sf_n20_gm3d_s3004_bz0.csv
sf,20,gm3d,3005,30,39.8113,app,530,211,0,0,0.483412,17.1691,1386.86,76.2612,961.116,1960,1960,647,495.044,0,69773,68793,980,980,0,98.5954,0,0.565306,980,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_gm3d_s3005/sf_n20_gm3d_s3005_bz0.csv
sf,20,rpgm,3001,30,64.2478,app,565,363,0,0,1.85675,28.5867,1347.99,76.3413,577.793,2640,2640,625,495.515,0,59816,58496,1320,1320,0,97.7932,0,0.630303,1320,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_rpgm_s3001/sf_n20_rpgm_s3001_bz0.csv
sf,20,rpgm,3002,30,98.6509,app,593,585,0,0,60.8103,51.3707,883.766,74.1406,321.577,2480,2480,639,495.589,0,68631,67391,1240,1240,0,98.1932,0,0.482258,1240,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_rpgm_s3002/sf_n20_rpgm_s3002_bz0.csv
sf,20,rpgm,3003,30,55.8824,app,578,323,0,0,0.560372,25.3611,1246.65,74.8021,650.683,2328,2328,628,495.061,0,66639,65475,1164,1164,0,98.2533,0,0.216495,1164,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_rpgm_s3003/sf_n20_rpgm_s3003_bz0.csv
sf,20,rpgm,3004,30,48.199,app,583,281,0,0,0.359431,22.7157,1276.61,74.3429,725.837,2120,2120,635,494.638,0,61894,60834,1060,1060,0,98.2874,0,0.529245,1060,0,100,ns-allinone-3.29/ns-3.29/results/baseline-campaign/sf_n20_rpgm_s3004/sf_n20_rpgm_s3004_bz0.csv
